"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2021-01-01,23113
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2022-01-01,3876
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2023-01-01,7921
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2024-01-01,26761
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",1997-01-01,4038159
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",1998-01-01,1378919
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",1999-01-01,1756837
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2000-01-01,2223065
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2001-01-01,2206205
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2002-01-01,2367015
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2003-01-01,2996926
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2004-01-01,2649756
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2005-01-01,3195964
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2006-01-01,3530315
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2007-01-01,4385283
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2008-01-01,3060378
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2009-01-01,1830892
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2010-01-01,1798308
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2011-01-01,3300964.52
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2012-01-01,2493216.68
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2013-01-01,3720605.63
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2014-01-01,2365080.63
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2015-01-01,2586450
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2016-01-01,1007067
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2017-01-01,1011070
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2018-01-01,2277211
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2019-01-01,2904443
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2020-01-01,2467325
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2021-01-01,2216751
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2022-01-01,1307068
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2023-01-01,703751
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","50","MENDOZA",2024-01-01,1773788
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2002-01-01,114
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2003-01-01,174
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2004-01-01,130
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2005-01-01,174
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2006-01-01,160
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2007-01-01,610
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2008-01-01,1030
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2009-01-01,590
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2010-01-01,285
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2011-01-01,541
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2012-01-01,1580
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2013-01-01,2393
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2014-01-01,580
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2015-01-01,1060
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2016-01-01,802
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2017-01-01,1234
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2018-01-01,625
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2019-01-01,721
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2020-01-01,1402
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2021-01-01,1194
